,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,stimulus_type,task,trial_color,trial_direction,trial_orientation,trial_position_x,trial_position_y,trial_type
189,80.0,75.0,70.0,45.0,j,1.0,0.77514365440401889,-1.0,0.0,2.0,9.3983208108205503,-1.0,-1.2152700778050001,0.0,0.0,1.0
190,80.0,75.0,70.0,45.0,s,0.0,1.4000887755137228,-1.0,2.0,1.0,4.6658330266484995,1.0,-2.4305401556100001,0.0,0.0,0.0
191,-80.0,75.0,70.0,45.0,f,0.0,0.7418402930220509,1.0,2.0,1.0,-6.6654757523550003,-1.0,1.7013781089269999,0.0,0.0,1.0
192,80.0,75.0,70.0,45.0,f,1.0,0.85841702482866822,1.0,0.0,1.0,9.3983208108205503,1.0,4.8610803112200003,0.0,0.0,1.0
193,-80.0,75.0,70.0,45.0,f,0.0,0.61677600632197027,1.0,2.0,2.0,-6.6654757523550003,1.0,0.85068905446349996,0.0,0.0,1.0
194,80.0,75.0,70.0,45.0,s,1.0,0.69177706113714521,-1.0,3.0,1.0,9.3983208108205503,-1.0,-4.8610803112200003,0.0,0.0,0.0
195,-80.0,75.0,70.0,45.0,j,1.0,0.45850243633753962,-1.0,2.0,2.0,-1.6663689380887501,-1.0,-6.8784286403763009,0.0,0.0,1.0
196,-80.0,75.0,70.0,45.0,j,1.0,0.42516144371688824,-1.0,0.0,2.0,-6.6654757523550003,-1.0,-3.4270616194100998,0.0,0.0,0.0
197,80.0,75.0,70.0,135.0,s,0.0,0.50012002084531559,-1.0,1.0,1.0,2.3329165133242498,1.0,-2.4305401556100001,0.0,0.0,1.0
198,80.0,75.0,70.0,45.0,s,1.0,0.76679807191203508,-1.0,0.0,1.0,26.661903009420001,-1.0,1.7013781089269999,0.0,0.0,1.0
199,-80.0,75.0,70.0,45.0,s,1.0,1.3500791396359091,-1.0,1.0,1.0,-6.6654757523550003,-1.0,-4.8610803112200003,0.0,0.0,0.0
200,80.0,75.0,70.0,135.0,l,1.0,0.50009464826757721,1.0,1.0,2.0,3.3327378761775002,1.0,-2.4305401556100001,0.0,0.0,1.0
200,80.0,75.0,70.0,135.0,j,1.0,0.65012070504985786,-1.0,1.0,2.0,3.3327378761775002,-1.0,2.4305401556100001,0.0,0.0,1.0
201,-80.0,75.0,70.0,135.0,l,1.0,0.75840117409461527,1.0,3.0,2.0,-9.3983208108205503,1.0,-9.7221606224400006,0.0,0.0,1.0
202,80.0,75.0,70.0,135.0,j,0.0,1.1917146274906827,-1.0,0.0,2.0,4.6658330266484995,1.0,-1.7013781089269999,0.0,0.0,0.0
203,-80.0,75.0,70.0,45.0,j,0.0,0.37509393555478709,-1.0,2.0,1.0,-4.6658330266484995,-1.0,-4.8610803112200003,0.0,0.0,1.0
204,-80.0,75.0,70.0,135.0,l,1.0,1.3750987820021692,1.0,1.0,2.0,-9.3983208108205503,1.0,-3.4270616194100998,0.0,0.0,0.0
205,80.0,75.0,70.0,45.0,l,1.0,0.55013364791511776,1.0,2.0,2.0,6.6654757523550003,1.0,4.8610803112200003,0.0,0.0,0.0
206,-80.0,75.0,70.0,135.0,f,1.0,0.62509992234254241,1.0,3.0,1.0,-18.863296379164652,1.0,1.2152700778050001,0.0,0.0,1.0
207,80.0,75.0,70.0,135.0,s,1.0,0.71677418177705476,-1.0,1.0,1.0,9.3983208108205503,-1.0,-2.4305401556100001,0.0,0.0,1.0
208,-80.0,75.0,70.0,135.0,j,0.0,0.4417676533271333,-1.0,2.0,2.0,-9.3983208108205503,1.0,-1.7013781089269999,0.0,0.0,0.0
209,-80.0,75.0,70.0,45.0,s,0.0,1.2584633226556434,-1.0,1.0,1.0,-4.6658330266484995,1.0,-1.2152700778050001,0.0,0.0,0.0
210,-80.0,75.0,70.0,135.0,l,1.0,0.58343643912667176,1.0,2.0,2.0,-3.3327378761775002,1.0,-3.4270616194100998,0.0,0.0,0.0
211,-80.0,75.0,70.0,135.0,s,0.0,1.1167543398510134,-1.0,2.0,1.0,-3.3327378761775002,1.0,1.2152700778050001,0.0,0.0,0.0
212,80.0,75.0,70.0,135.0,s,0.0,0.84174781140109189,-1.0,3.0,1.0,3.3327378761775002,1.0,-1.7013781089269999,0.0,0.0,0.0
213,80.0,75.0,70.0,45.0,s,1.0,0.70010952971233564,-1.0,3.0,1.0,6.6654757523550003,-1.0,2.4305401556100001,0.0,0.0,0.0
214,80.0,75.0,70.0,135.0,l,1.0,0.36673495406148504,1.0,1.0,2.0,18.863296379164652,1.0,-3.4270616194100998,0.0,0.0,1.0
215,80.0,75.0,70.0,45.0,s,1.0,0.33345753542744205,-1.0,0.0,1.0,13.330951504710001,-1.0,0.60763503890250004,0.0,0.0,1.0
216,-80.0,75.0,70.0,135.0,j,1.0,0.24180095127212553,-1.0,3.0,2.0,-9.3983208108205503,-1.0,6.8784286403763009,0.0,0.0,1.0
217,-80.0,75.0,70.0,45.0,j,0.0,0.60011449019339125,-1.0,3.0,2.0,-4.6658330266484995,1.0,3.4270616194100998,0.0,0.0,0.0
218,-80.0,75.0,70.0,135.0,f,1.0,1.2167567915830659,1.0,3.0,1.0,-3.3327378761775002,1.0,-6.8784286403763009,0.0,0.0,1.0
219,80.0,75.0,70.0,45.0,s,0.0,0.47511634324700935,-1.0,2.0,1.0,6.6654757523550003,1.0,-1.2152700778050001,0.0,0.0,0.0
220,80.0,75.0,70.0,135.0,s,0.0,0.6167295374434616,-1.0,0.0,2.0,13.330951504710001,-1.0,2.4305401556100001,0.0,0.0,0.0
221,80.0,75.0,70.0,45.0,f,1.0,1.0750671945684189,1.0,2.0,1.0,13.330951504710001,1.0,-4.8610803112200003,0.0,0.0,0.0
222,-80.0,75.0,70.0,135.0,s,0.0,0.98342914094700973,-1.0,3.0,1.0,-13.330951504710001,1.0,0.60763503890250004,0.0,0.0,1.0
223,-80.0,75.0,70.0,135.0,j,1.0,0.9084340729204996,-1.0,1.0,2.0,-3.3327378761775002,-1.0,3.4270616194100998,0.0,0.0,0.0
224,80.0,75.0,70.0,45.0,j,1.0,0.3417783155118741,-1.0,0.0,2.0,6.6654757523550003,-1.0,-3.4270616194100998,0.0,0.0,1.0
225,-80.0,75.0,70.0,135.0,s,1.0,0.37511902304731848,-1.0,2.0,1.0,-9.3983208108205503,-1.0,-1.7013781089269999,0.0,0.0,0.0
226,-80.0,75.0,70.0,135.0,j,1.0,0.70009413511434104,-1.0,3.0,2.0,-3.3327378761775002,-1.0,2.4305401556100001,0.0,0.0,1.0
227,-80.0,75.0,70.0,135.0,l,1.0,0.93343604000756386,1.0,0.0,2.0,-3.3327378761775002,1.0,-1.7013781089269999,0.0,0.0,0.0
228,80.0,75.0,70.0,135.0,f,1.0,0.9417519736448412,1.0,1.0,1.0,1.6663689380887501,1.0,-3.4270616194100998,0.0,0.0,1.0
229,-80.0,75.0,70.0,135.0,s,1.0,0.78345531176319128,-1.0,3.0,1.0,-18.863296379164652,-1.0,3.4270616194100998,0.0,0.0,1.0
230,-80.0,75.0,70.0,45.0,j,1.0,0.51677754578167878,-1.0,3.0,2.0,-13.330951504710001,-1.0,-1.2152700778050001,0.0,0.0,0.0
231,-80.0,75.0,70.0,45.0,l,1.0,0.37511275117412879,1.0,2.0,2.0,-2.3329165133242498,1.0,6.8784286403763009,0.0,0.0,1.0
232,-80.0,75.0,70.0,135.0,j,1.0,0.29180374510633555,-1.0,3.0,2.0,-13.330951504710001,-1.0,6.8784286403763009,0.0,0.0,1.0
233,80.0,75.0,70.0,135.0,f,1.0,0.53341169373652519,1.0,0.0,1.0,6.6654757523550003,1.0,1.2152700778050001,0.0,0.0,0.0
234,-80.0,75.0,70.0,135.0,s,1.0,0.62511731253653124,-1.0,1.0,1.0,-13.330951504710001,-1.0,-1.7013781089269999,0.0,0.0,0.0
235,80.0,75.0,70.0,135.0,s,1.0,0.72509781271310203,-1.0,1.0,1.0,9.3983208108205503,-1.0,9.7221606224400006,0.0,0.0,1.0
236,-80.0,75.0,70.0,45.0,j,0.0,1.2000687625363753,-1.0,2.0,2.0,-9.3983208108205503,1.0,0.85068905446349996,0.0,0.0,1.0
237,-80.0,75.0,70.0,45.0,s,0.0,0.71676306345671037,-1.0,2.0,1.0,-4.6658330266484995,1.0,3.4270616194100998,0.0,0.0,1.0
238,-80.0,75.0,70.0,45.0,s,1.0,0.8751629261596463,-1.0,3.0,1.0,-6.6654757523550003,-1.0,-1.2152700778050001,0.0,0.0,0.0
239,-80.0,75.0,70.0,45.0,j,0.0,0.60844011672543274,-1.0,2.0,2.0,-4.6658330266484995,1.0,0.85068905446349996,0.0,0.0,1.0
240,80.0,75.0,70.0,45.0,j,1.0,0.52511029944207621,-1.0,0.0,2.0,4.6658330266484995,-1.0,-1.2152700778050001,0.0,0.0,1.0
241,80.0,75.0,70.0,135.0,s,0.0,0.65846315160479207,-1.0,2.0,1.0,4.6658330266484995,1.0,-1.2152700778050001,0.0,0.0,0.0
242,80.0,75.0,70.0,45.0,f,0.0,0.69173230276965114,1.0,3.0,2.0,3.3327378761775002,1.0,2.4305401556100001,0.0,0.0,0.0
243,-80.0,75.0,70.0,135.0,s,1.0,0.66677765981603443,-1.0,1.0,1.0,-4.6658330266484995,-1.0,1.7013781089269999,0.0,0.0,0.0
244,-80.0,75.0,70.0,45.0,l,1.0,0.95840037585639948,1.0,2.0,2.0,-26.661903009420001,1.0,2.4305401556100001,0.0,0.0,1.0
245,-80.0,75.0,70.0,135.0,f,0.0,0.54177267082604885,1.0,2.0,1.0,-6.6654757523550003,-1.0,-1.2152700778050001,0.0,0.0,0.0
246,80.0,75.0,70.0,45.0,j,1.0,0.25846303757089117,-1.0,1.0,2.0,13.330951504710001,-1.0,-3.4270616194100998,0.0,0.0,0.0
247,-80.0,75.0,70.0,135.0,s,0.0,0.6167440767858352,-1.0,1.0,1.0,-4.6658330266484995,1.0,-4.8610803112200003,0.0,0.0,0.0
248,80.0,75.0,70.0,45.0,f,0.0,1.0667378619300507,1.0,0.0,1.0,2.3329165133242498,-1.0,3.4270616194100998,0.0,0.0,1.0
249,80.0,75.0,70.0,135.0,j,1.0,0.35851566428846127,-1.0,3.0,2.0,3.3327378761775002,-1.0,1.2152700778050001,0.0,0.0,0.0
250,-80.0,75.0,70.0,45.0,s,1.0,1.0584615551279057,-1.0,2.0,1.0,-2.3329165133242498,-1.0,0.60763503890250004,0.0,0.0,1.0
251,80.0,75.0,70.0,45.0,s,0.0,1.1751041416027874,-1.0,2.0,1.0,6.6654757523550003,1.0,4.8610803112200003,0.0,0.0,0.0
252,80.0,75.0,70.0,45.0,s,1.0,0.84175978497751203,-1.0,0.0,1.0,2.3329165133242498,-1.0,6.8784286403763009,0.0,0.0,1.0
253,-80.0,75.0,70.0,135.0,s,0.0,0.83347977206858559,-1.0,2.0,1.0,-3.3327378761775002,1.0,2.4305401556100001,0.0,0.0,0.0
254,-80.0,75.0,70.0,135.0,s,0.0,0.69172289495963923,-1.0,2.0,1.0,-4.6658330266484995,1.0,1.7013781089269999,0.0,0.0,0.0
